Customer_ID,Customer_Code,Company_Name,Contact_Person,Email,Phone,City,Region_ID,Payment_Term_ID,Account_Manager_ID,Is_Active,Created_Date
1,CUST00001,"Vora, Shroff and Wable",Reva Basu,yprabhu@kurian-viswanathan.com,25652602,Chinsurah,4,2,11,1,2026-07-13
2,CUST00002,Dube Group,Charvi Nigam,vcherian@mital.info,5244956167,Madhyamgram,2,2,70,1,2026-07-13
3,CUST00003,"Sachdev, Pai and Merchant",Waida Tandon,shuklajagvi@edwin-joshi.com,4234060138,Hindupur,2,3,80,1,2026-07-13
4,CUST00004,Nayar-Sethi,Yutika Bir,munshiveda@karpe-choudhary.com,8440221689,Baranagar,5,1,49,1,2026-07-13
5,CUST00005,"Gera, Padmanabhan and Karnik",Triveni Brahmbhatt,hsule@venkataraman-zachariah.com,7767923119,Karnal,3,1,32,1,2026-07-13
6,CUST00006,Gokhale LLC,Advika Subramaniam,modifariq@kohli.biz,462253986,Jhansi,1,1,57,1,2026-07-13
7,CUST00007,Varma and Sons,Dalbir Jha,cdixit@varghese.com,1161035772,Farrukhabad,5,4,30,1,2026-07-13
8,CUST00008,Chahal-Bora,Anusha Sidhu,timothy54@desai.net,3129917365,Asansol,1,3,85,1,2026-07-13
9,CUST00009,Bava Ltd,Faras Behl,maanavsrinivas@luthra.com,4824551064,Hazaribagh,5,5,12,1,2026-07-13
10,CUST00010,Jaggi PLC,Gauri Koshy,sameshdutt@narayan.biz,2749101278,Varanasi,1,3,41,1,2026-07-13
11,CUST00011,Jani Inc,Mitesh Vig,utara@buch.info,6503787891,Akola,4,5,20,1,2026-07-13
12,CUST00012,Balasubramanian Inc,Joshua Tata,bahriojas@ram.com,601296541,Silchar,1,2,79,1,2026-07-13
13,CUST00013,"Chacko, Ramaswamy and Sankaran",Nilima Rajan,farismitra@sane-prasad.info,5472469429,Satna,5,4,54,1,2026-07-13
14,CUST00014,Rama-Chana,Turvi Lal,raghav90@sawhney.com,7846295791,Hajipur,2,5,40,1,2026-07-13
15,CUST00015,Kumer Inc,Panini Lall,ebera@balasubramanian-cheema.com,7786665038,Suryapet,3,1,51,1,2026-07-13
16,CUST00016,Venkataraman Inc,Edhitha Bahl,ijayakant@bakshi.biz,7310315748,Dindigul,3,1,77,1,2026-07-13
17,CUST00017,"Misra, Vyas and Trivedi",Dayita Sunder,chaman99@mahajan.com,5816171282,Proddatur,4,5,81,1,2026-07-13
18,CUST00018,Madan Ltd,Nirja Kothari,edubey@chakraborty-srinivas.org,7550855098,Tiruvottiyur,5,3,20,1,2026-07-13
19,CUST00019,Kala PLC,Upasna Pau,aishanimalhotra@comar.biz,377103625,Bhavnagar,4,5,40,1,2026-07-13
20,CUST00020,Savant Group,Faqid Andra,goswamisaanvi@chaudhary-rai.com,4187932891,Barasat,3,3,40,1,2026-07-13
21,CUST00021,Rout-Rajan,Hamsini Dara,trivediparth@mangal.net,1327216712,Anantapur,3,5,53,1,2026-07-13
22,CUST00022,"Banerjee, Bhandari and Bhavsar",Dhriti Merchant,anay65@om-mannan.com,9321664871,Hajipur,3,4,7,1,2026-07-13
23,CUST00023,Ravi Ltd,Arunima Apte,jeremiahtata@goel-bhatt.com,9742621051,Ghaziabad,1,4,98,1,2026-07-13
24,CUST00024,Mani PLC,Kiaan Pillay,cmangal@vohra.com,5860325352,Thanjavur,2,2,94,1,2026-07-13
25,CUST00025,Mitter-Chaudry,Janaki Sen,xsane@narain-shenoy.com,1393218706,Sangli-Miraj & Kupwad,1,3,75,1,2026-07-13
26,CUST00026,Andra Group,Omaja Bhakta,panditchanakya@oommen-nagarajan.biz,5525187581,Kochi,4,1,30,1,2026-07-13
27,CUST00027,Loke LLC,Thomas Iyengar,balasubramanianmadhav@deep.info,4303703096,Aligarh,2,3,8,1,2026-07-13
28,CUST00028,"Hayre, Hari and Dasgupta",Ubika Varughese,chaayasama@tank.net,2626453906,Navi Mumbai,3,3,81,1,2026-07-13
