Employee_ID,Employee_Code,First_Name,Last_Name,Email,Phone,Department,Designation,Warehouse_ID,Hire_Date,Is_Active,Created_Date
1,EMP0001,Aarav,Nazareth,nsabharwal@example.com,9473056337,Operations,Warehouse Manager,4,2024-08-09,1,2026-07-13
2,EMP0002,Vrishti,Keer,rastogiwaida@example.net,1105685828,Warehouse,Sales Executive,4,2025-03-31,1,2026-07-13
3,EMP0003,Qushi,Lalla,cmane@example.net,2996276197,Inventory,Inventory Executive,4,2024-10-04,1,2026-07-13
4,EMP0004,Mekhala,Mital,vcheema@example.com,2167423597,Operations,Sales Manager,5,2026-02-05,1,2026-07-13
5,EMP0005,Hamsini,Bhat,epalan@example.com,2176346008,Warehouse,Sales Executive,4,2024-02-03,1,2026-07-13
6,EMP0006,Dayita,Suri,prisha49@example.net,3467536555,Sales,Inventory Executive,5,2024-02-29,1,2026-07-13
7,EMP0007,Upkaar,Devan,onveerwable@example.org,1556885896,Inventory,Sales Executive,3,2023-04-22,1,2026-07-13
8,EMP0008,Tanay,Murthy,lokevinaya@example.org,5770262066,Inventory,Sales Executive,3,2025-07-07,1,2026-07-13
9,EMP0009,Mason,Subramanian,oni53@example.net,8183356457,Inventory,Warehouse Manager,3,2021-11-15,1,2026-07-13
10,EMP0010,Brinda,Rama,advayhans@example.net,6057616449,Operations,Warehouse Manager,2,2024-07-05,1,2026-07-13
11,EMP0011,Faqid,Mohan,simonjohal@example.com,6973251111,Warehouse,Warehouse Manager,1,2025-12-07,1,2026-07-13
12,EMP0012,Liam,Kamdar,nakshagrawal@example.org,9241109458,Inventory,Inventory Executive,2,2026-01-20,1,2026-07-13
13,EMP0013,Turvi,Ahluwalia,radhadugal@example.net,5163320882,Inventory,Sales Executive,4,2022-06-17,1,2026-07-13
14,EMP0014,Manthan,Gill,niharika88@example.org,5297952832,Warehouse,Inventory Executive,3,2025-09-14,1,2026-07-13
15,EMP0015,Nisha,Basu,gaurijhaveri@example.org,4587117046,Inventory,Warehouse Manager,4,2025-03-11,1,2026-07-13
16,EMP0016,Anmol,Bir,badalidika@example.net,8686249966,Inventory,Warehouse Manager,5,2025-10-01,1,2026-07-13
17,EMP0017,Finn,Warrior,sarthak02@example.org,5344515361,Sales,Warehouse Manager,5,2024-06-07,1,2026-07-13
18,EMP0018,Victor,Choudhry,hredhaanrana@example.org,6315492319,Sales,Sales Executive,3,2024-07-27,1,2026-07-13
19,EMP0019,Adya,Hegde,ecomar@example.com,9508205279,Operations,Inventory Executive,4,2024-08-18,1,2026-07-13
20,EMP0020,Bhavani,Gokhale,anvimane@example.net,2512789865,Warehouse,Sales Executive,4,2023-01-05,1,2026-07-13
21,EMP0021,Yashasvi,Uppal,hlall@example.net,5137168569,Operations,Sales Executive,1,2022-02-03,1,2026-07-13
22,EMP0022,Daniel,Bose,etadutt@example.net,3662671447,Operations,Warehouse Manager,2,2023-03-17,1,2026-07-13
23,EMP0023,Nihal,Agarwal,vritti62@example.net,5208524625,Sales,Sales Executive,5,2023-10-12,1,2026-07-13
24,EMP0024,Joshua,Contractor,deytristan@example.com,7404248671,Warehouse,Warehouse Manager,4,2023-09-18,1,2026-07-13
25,EMP0025,Girish,Gopal,fborra@example.org,6428452266,Inventory,Inventory Executive,4,2023-06-22,1,2026-07-13
26,EMP0026,Kevin,Malhotra,eshetty@example.org,8831637168,Warehouse,Sales Executive,2,2022-12-09,1,2026-07-13
27,EMP0027,Advika,Vora,sarmaaahana@example.net,6608161042,Inventory,Inventory Executive,5,2021-09-12,1,2026-07-13
28,EMP0028,Gayathri,Choudhry,riya23@example.com,3177062032,Operations,Sales Manager,1,2025-10-19,1,2026-07-13
29,EMP0029,Upasna,Bassi,falak16@example.com,5137794194,Sales,Sales Executive,2,2023-01-11,1,2026-07-13
30,EMP0030,Daniel,Chana,joshuamerchant@example.org,4111758490,Sales,Warehouse Manager,4,2025-10-12,1,2026-07-13
31,EMP0031,Ryan,Chanda,hiralsarna@example.com,7182043269,Operations,Inventory Executive,2,2025-04-21,1,2026-07-13
32,EMP0032,Edhitha,Shankar,omital@example.com,4585865503,Sales,Sales Executive,3,2021-11-04,1,2026-07-13
33,EMP0033,Agastya,Palan,simonzacharia@example.org,9014577142,Operations,Sales Manager,1,2023-12-28,1,2026-07-13
34,EMP0034,Kashish,Amble,anthony15@example.com,5930533335,Warehouse,Sales Executive,5,2024-10-07,1,2026-07-13
35,EMP0035,Ishwar,Borde,ckaul@example.net,8305876586,Inventory,Sales Executive,2,2025-06-12,1,2026-07-13
36,EMP0036,Baghyawati,Cherian,ikshita56@example.net,1028726376,Warehouse,Inventory Executive,4,2024-06-29,1,2026-07-13
37,EMP0037,Vidhi,Kant,idikakeer@example.net,3389228924,Warehouse,Inventory Executive,1,2025-11-22,1,2026-07-13
38,EMP0038,Eta,Muni,kundamanthan@example.net,3682237715,Operations,Sales Executive,4,2023-09-29,1,2026-07-13
39,EMP0039,Lakshit,Seshadri,jai49@example.com,8016229067,Operations,Sales Manager,2,2023-11-12,1,2026-07-13
40,EMP0040,Abeer,Goda,yvarghese@example.com,4472632409,Operations,Warehouse Manager,1,2022-04-21,1,2026-07-13
41,EMP0041,Janya,Lad,hkala@example.org,0123674018,Inventory,Sales Executive,3,2021-08-06,1,2026-07-13
42,EMP0042,Sai,Chatterjee,wasongunbir@example.net,8978354595,Inventory,Sales Executive,1,2025-09-04,1,2026-07-13
43,EMP0043,Ishaan,Konda,xdeep@example.net,3000078270,Sales,Warehouse Manager,3,2021-07-27,1,2026-07-13
44,EMP0044,Luke,Khurana,balanidhi@example.org,7753840703,Inventory,Inventory Executive,1,2023-02-14,1,2026-07-13
45,EMP0045,Faqid,Tata,kbatra@example.com,2021772604,Sales,Warehouse Manager,2,2022-11-20,1,2026-07-13
46,EMP0046,Vivaan,Badal,chakrika84@example.org,8346360188,Operations,Inventory Executive,4,2023-01-11,1,2026-07-13
47,EMP0047,Quincy,Palan,frado19@example.net,9281850122,Warehouse,Sales Manager,5,2021-12-07,1,2026-07-13
48,EMP0048,Yahvi,Kala,pushti60@example.com,9098481613,Sales,Inventory Executive,1,2024-08-17,1,2026-07-13
49,EMP0049,Janani,Vig,anthony61@example.org,3857244086,Sales,Warehouse Manager,4,2022-06-25,1,2026-07-13
